City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,puerto deseado,-47.7503,-65.8938,7.24,62,4,1.28,AR,1713742393
252,tamanrasset,22.785,5.5228,22.95,9,40,2.06,DZ,1713742472
253,tazovsky,67.4667,78.7,-23.61,100,93,3.21,RU,1713742396
254,kokopo,-4.352,152.2633,29.54,68,40,2.05,PG,1713742473
255,ishigaki,24.3448,124.1572,28.07,89,75,6.17,JP,1713742473
256,newman,37.3138,-121.0208,29.13,41,3,4.02,US,1713742474
257,san remo,43.8182,7.7612,12.09,80,76,2.24,IT,1713742475
258,jamestown,42.097,-79.2353,5.81,54,0,5.14,US,1713742200
259,taro,-8.3862,115.28,22.0,97,100,0.33,ID,1713742476
260,aykhal,66.0,111.5,0.3,100,100,0.57,RU,1713742476
261,sabha,27.0377,14.4283,28.64,11,100,6.47,LY,1713742477
262,isangel,-19.55,169.2667,28.33,80,93,4.89,VU,1713742477
263,champerico,14.3,-91.9167,29.43,70,5,2.92,GT,1713742477
264,roma,43.2128,-75.4557,7.12,54,100,5.14,US,1713742181
265,sitia,35.2,26.0986,16.66,69,100,2.91,GR,1713742477
266,bela,25.9333,81.9833,28.96,25,100,3.23,IN,1713742478
267,puerto yuca,2.9383,-73.2083,23.54,95,97,1.12,CO,1713742478
268,vila velha,-20.3297,-40.2925,22.97,88,0,1.54,BR,1713742222
269,artur nogueira,-22.5731,-47.1725,24.06,57,0,1.69,BR,1713742478
270,rio gallegos,-51.6226,-69.2181,7.03,65,40,7.72,AR,1713742479
271,ilomantsi,62.6716,30.9328,-2.39,94,97,4.01,FI,1713742479
272,baise city,23.8997,106.6133,21.68,90,75,1.05,CN,1713742479
273,mao,39.8885,4.2658,9.31,76,0,2.06,ES,1713742480
274,yarmouth,41.7057,-70.2286,8.94,70,0,7.72,US,1713742481
275,urucui,-7.2294,-44.5561,28.13,63,100,1.63,BR,1713742481
276,tangjin,36.8944,126.6297,15.9,78,100,3.95,KR,1713742481
277,charters towers,-20.1,146.2667,21.58,56,0,6.72,AU,1713742481
278,fale old settlement,-9.3852,-171.2468,29.74,75,50,4.92,TK,1713742482
279,salalah,17.0151,54.0924,28.05,78,20,1.03,OM,1713742428
